State/Union Territory,Power_Requirement_Net_Crore_Units_kiloWatt-Hour,Availability_Of_Power_Net_Crore_Units_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt,End_Year,population(million),Region,rel_pop,rel_infras_eco,Region_means_encoded,Region_encoded_normalized,Region_encoded_standardized
Chandigarh,141.0,141.0,93.0,2009,0.8980891719745223,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1487.0,1448.0,3607.0,2009,20.840529648819807,ER,1,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,357.0,346.0,81.0,2009,0.22068156160906197,WR,1,2,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,180.0,158.0,71.0,2009,0.1586058744403622,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2240.0,2227.0,3677.0,2009,13.84864125365338,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,280.0,275.0,357.0,2009,1.3457303645705896,WR,2,2,4541.141176470588,1.0,1.1983805361083646
Gujarat,6748.0,6085.0,12110.0,2009,50.666111573688596,WR,3,3,4541.141176470588,1.0,1.1983805361083646
Haryana,2909.0,2663.0,4530.0,2009,21.148348157560356,NR,3,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Himachal Pradesh,626.0,624.0,1896.0,2009,6.077132839890924,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jammu and Kashmir,1147.0,870.0,2159.0,2009,10.145772594752186,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jharkhand,536.0,511.0,2153.0,2009,26.951476793248947,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,4317.0,4058.0,9347.0,2009,52.85230528783538,SR,3,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1765.0,1556.0,3514.0,2009,31.839574381010845,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Lakshadweep,2.0,2.0,11.0,2009,0.05054334091483447,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,4205.0,3484.0,8113.0,2009,60.34990472891045,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,12190.0,9576.0,20415.0,2009,96.87405159332322,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,56.0,48.0,158.0,2009,2.1808268968650615,NER,3,1,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,171.0,139.0,288.0,2009,2.325581395348837,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,33.0,27.0,119.0,2009,0.89197224975223,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,48.0,44.0,103.0,2009,2.008215426745778,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,2052.0,2021.0,4072.0,2009,36.79898033503277,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,202.0,177.0,257.0,2009,0.9726878056822553,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,4164.0,3724.0,6780.0,2009,24.360567802708182,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,3780.0,3739.0,6426.0,2009,56.50596947257065,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Sikkim,34.0,33.0,193.0,2009,0.5408949352565153,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Tamil Nadu,6967.0,6421.0,14089.0,2009,62.406453494022735,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,80.0,73.0,243.0,2009,3.2073813708260106,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,6921.0,5431.0,9247.0,2009,166.18727050183597,NR,4,4,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,784.0,777.0,2383.0,2009,8.494588389635945,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
West Bengal,3129.0,3029.0,7732.0,2009,80.17469560614082,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andaman and Nicobar Islands,24.0,18.0,65.0,2010,0.3561535417491096,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andhra Pradesh,7900.0,7377.0,13409.0,2010,76.21655129662156,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,40.0,33.0,202.0,2010,1.114864864864865,NER,2,2,156.97037037037038,0.0,-1.6522266724460715
Assam,512.0,469.0,979.0,2010,26.662876634451393,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,1159.0,991.0,1846.0,2010,82.99832495812394,ER,4,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Chandigarh,158.0,153.0,98.0,2010,0.9018036072144289,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1101.0,1074.0,4769.0,2010,20.834141610087293,ER,1,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,401.0,385.0,58.0,2010,0.22031851762834267,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,193.0,180.0,31.0,2010,0.15802781289506954,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2428.0,2409.0,4115.0,2010,13.848011037020004,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,309.0,303.0,381.0,2010,1.3494254921172173,WR,2,2,4541.141176470588,1.0,1.1983805361083646
Gujarat,7037.0,6722.0,13908.0,2010,50.67088798432082,WR,3,3,4541.141176470588,1.0,1.1983805361083646
Haryana,3344.0,3202.0,5071.0,2010,21.14229118520964,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Himachal Pradesh,705.0,677.0,2030.0,2010,6.078836311394451,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jammu and Kashmir,1320.0,993.0,2264.0,2010,10.14093137254902,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jharkhand,587.0,541.0,1943.0,2010,26.955655206776285,ER,2,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,4555.0,4204.0,10386.0,2010,52.84726587052168,SR,3,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1762.0,1720.0,3554.0,2010,31.845954452879095,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Lakshadweep,2.0,2.0,10.0,2010,0.05054334091483447,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,4318.0,3497.0,8324.0,2010,60.345125107851594,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,12494.0,10151.0,21379.0,2010,96.87917541515557,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,52.0,43.0,158.0,2010,2.1662468513853903,NER,3,1,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,155.0,133.0,290.0,2010,2.3239559671500962,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,35.0,29.0,131.0,2010,0.8947855600123418,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,53.0,47.0,103.0,2010,2.0068317677198975,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,2114.0,2096.0,4059.0,2010,36.810677906568316,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,212.0,198.0,256.0,2010,0.9768130241736557,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,4573.0,3941.0,6922.0,2010,24.36024230436395,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,4411.0,4306.0,7768.0,2010,56.50177142107335,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Sikkim,39.0,35.0,195.0,2010,0.5486753409625333,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Tamil Nadu,7629.0,7157.0,14410.0,2010,62.40844087896757,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,86.0,77.0,244.0,2010,3.195020746887967,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,7593.0,5951.0,9984.0,2010,166.18263055012565,NR,4,4,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,892.0,834.0,2405.0,2010,8.491142333536958,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
