cluster,user_pseudo_id,product_id_name,product_category_list,product_category_2_list,recency,frequency,monetary
2,1991392892.16946,{'8905724367540': 'Gulabi Greens Co-ords Set'},['Co-ords'],['All Clothing'],100,3,6085.0
1,1326508409.1706948,{'8905134564881': 'Mustard Tassel Cropped Stitched Saree'},['(not set)'],['(not set)'],117,1,1585.0
0,1656492427.1710052,"{'8905134633235': 'Off White Floral Straight Tunic', ' 8905724375057': ' Pink Floral Flared Suit', ' 8905134637790': ' Sadabahar Flared Dress'}","['Tops', ' Dresses', ' Kurta Sets']","['All Clothing', ' Kurtas &amp; Kurta Sets']",84,1,4245.0
1,1772100518.1697612,{'8905134633334': 'Blue Floral Curved Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],130,2,2590.0
1,1772100518.1697612,{'8905134909217': 'Brown Jacquard Straight Slip-On Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],130,2,2590.0
1,1200303013.1705995,{'8905134633419': 'Black Geometric Flared Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],131,1,1900.0
1,2064781703.1707904,"{'8905134633464': 'Mustard Abstract Curved Kurta', ' 8905724369476': ' Go-With-The-Flow Kurta'}",['Kurtas'],['Kurtas &amp; Kurta Sets'],108,1,2795.0
1,7269354.169831154,{'8905134633488': 'Mustard Abstract Curved Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],108,1,1750.0
1,839683724.1648208,{'8905134633648': 'Hot Pink Floral Round Neck Suit'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],122,1,2925.0
2,1798796096.1707463,{'8905134633761': 'Dark Green Solid Straight Jumpsuit'},['Jumpsuits'],['All Clothing'],73,5,8330.0
2,1798796096.1707463,{'8905724006562': 'Blue Floral Shirt Style Set'},['Black Friday Sale'],['Sale'],73,5,8330.0
2,1798796096.1707463,{'8905724232046': 'Hot Pink Floral Flared Set-2'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],73,5,8330.0
